Step,Time (s),Total Comput. Time (s),Err,ODE (gas-phase) Comput. Time (s),Err,MC (particle) Comput. Time (s),Err
384,0.000384000000000003,3.447,0,3.34099999999996,0,0.068,0
385,0.000385000000000003,3.454,0,3.34799999999996,0,0.068,0
386,0.000386000000000003,3.461,0,3.35399999999996,0,0.069,0
387,0.000387000000000003,3.469,0,3.36199999999996,0,0.069,0
388,0.000388000000000003,3.477,0,3.36999999999996,0,0.069,0
389,0.000389000000000003,3.485,0,3.37799999999996,0,0.069,0
390,0.000390000000000003,3.491,0,3.38399999999996,0,0.069,0
391,0.000391000000000003,3.498,0,3.39099999999996,0,0.069,0
392,0.000392000000000003,3.504,0,3.39699999999996,0,0.069,0
393,0.000393000000000003,3.51,0,3.40299999999996,0,0.069,0
394,0.000394000000000003,3.517,0,3.40999999999996,0,0.069,0
395,0.000395000000000003,3.524,0,3.41699999999996,0,0.069,0
396,0.000396000000000003,3.531,0,3.42299999999996,0,0.069,0
397,0.000397000000000003,3.538,0,3.42999999999996,0,0.069,0
398,0.000398000000000003,3.545,0,3.43699999999996,0,0.069,0
399,0.000399000000000003,3.552,0,3.44299999999996,0,0.07,0
400,0.000400000000000003,3.559,0,3.44999999999996,0,0.07,0
401,0.000401000000000003,3.566,0,3.45599999999996,0,0.071,0
402,0.000402000000000003,3.573,0,3.46199999999996,0,0.0720000000000001,0
403,0.000403000000000003,3.579,0,3.46799999999996,0,0.0720000000000001,0
404,0.000404000000000003,3.586,0,3.47399999999996,0,0.0730000000000001,0
405,0.000405000000000003,3.593,0,3.48099999999996,0,0.0730000000000001,0
406,0.000406000000000003,3.601,0,3.48899999999996,0,0.0730000000000001,0
407,0.000407000000000003,3.609,0,3.49699999999996,0,0.0730000000000001,0
408,0.000408000000000003,3.617,0,3.50499999999996,0,0.0730000000000001,0
409,0.000409000000000003,3.624,0,3.51199999999996,0,0.0730000000000001,0
410,0.000410000000000003,3.631,0,3.51899999999996,0,0.0730000000000001,0
411,0.000411000000000003,3.638,0,3.52599999999996,0,0.0730000000000001,0
412,0.000412000000000004,3.645,0,3.53299999999996,0,0.0730000000000001,0
413,0.000413000000000004,3.652,0,3.53999999999996,0,0.0730000000000001,0
414,0.000414000000000004,3.658,0,3.54599999999996,0,0.0730000000000001,0
415,0.000415000000000004,3.665,0,3.55299999999996,0,0.0730000000000001,0
416,0.000416000000000004,3.672,0,3.55999999999996,0,0.0730000000000001,0
417,0.000417000000000004,3.679,0,3.56699999999996,0,0.0730000000000001,0
418,0.000418000000000004,3.687,0,3.57399999999996,0,0.0740000000000001,0
419,0.000419000000000004,3.694,0,3.58099999999996,0,0.0740000000000001,0
420,0.000420000000000004,3.701,0,3.58799999999995,0,0.0740000000000001,0
421,0.000421000000000004,3.708,0,3.59399999999995,0,0.0750000000000001,0
422,0.000422000000000004,3.715,0,3.60099999999995,0,0.0750000000000001,0
423,0.000423000000000004,3.723,0,3.60799999999995,0,0.0750000000000001,0
424,0.000424000000000004,3.729,0,3.61399999999995,0,0.0750000000000001,0
425,0.000425000000000004,3.737,0,3.62199999999995,0,0.0750000000000001,0
426,0.000426000000000004,3.743,0,3.62799999999995,0,0.0750000000000001,0
427,0.000427000000000004,3.752,0,3.63699999999995,0,0.0750000000000001,0
428,0.000428000000000004,3.759,0,3.64399999999995,0,0.0750000000000001,0
429,0.000429000000000004,3.767,0,3.65199999999995,0,0.0750000000000001,0
430,0.000430000000000004,3.774,0,3.65899999999995,0,0.0750000000000001,0
431,0.000431000000000004,3.781,0,3.66599999999995,0,0.0750000000000001,0
432,0.000432000000000004,3.787,0,3.67199999999995,0,0.0750000000000001,0
433,0.000433000000000004,3.794,0,3.67899999999995,0,0.0750000000000001,0
434,0.000434000000000004,3.802,0,3.68599999999995,0,0.0760000000000001,0
435,0.000435000000000004,3.809,0,3.69299999999995,0,0.0760000000000001,0
436,0.000436000000000004,3.816,0,3.69999999999995,0,0.0760000000000001,0
437,0.000437000000000004,3.823,0,3.70699999999995,0,0.0760000000000001,0
