Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
49,4.9e-05,0,0,9.53766722934529e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,7.93738729796009e-06,0,3.20055986277044e-06,0,2317.76423506192,0,2.06756143900758e-05,0,398439.472041564,0
50,5e-05,0,0,9.53766722934529e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,7.93738729796009e-06,0,3.20055986277044e-06,0,2317.76423506192,0,2.06756143900758e-05,0,398439.472041564,0
51,5.1e-05,0,0,9.53766722934529e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,7.93738729796009e-06,0,3.20055986277044e-06,0,2317.76423506192,0,2.06756143900758e-05,0,398439.472041564,0
52,5.19999999999999e-05,0,0,9.45550376351862e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79329868947274e-06,0,3.32441014809181e-06,0,2329.04109878368,0,2.05732126010832e-05,0,398395.05705245,0
53,5.29999999999999e-05,0,0,9.3752491224559e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65021095946628e-06,0,3.4500763259793e-06,0,2339.88664798412,0,2.04755364079015e-05,0,398349.964089122,0
54,5.39999999999999e-05,0,0,9.3752491224559e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65021095946628e-06,0,3.4500763259793e-06,0,2339.88664798412,0,2.04755364079015e-05,0,398349.964089122,0
55,5.49999999999999e-05,0,0,9.29503667374906e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50657062765269e-06,0,3.57693209219279e-06,0,2350.75507145722,0,2.03785393935945e-05,0,398304.405581855,0
56,5.59999999999999e-05,0,0,9.04761664497527e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06475345160571e-06,0,3.96572638673917e-06,0,2383.43100356153,0,2.00780964833201e-05,0,397887.042554737,0
57,5.69999999999999e-05,0,0,8.96744564234262e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91862842395243e-06,0,4.09763443678045e-06,0,2394.40270665195,0,1.99837085030755e-05,0,397839.550938059,0
58,5.79999999999999e-05,0,0,8.71973893318555e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4686987843831e-06,0,4.50208029760496e-06,0,2427.39783191767,0,1.96905180151736e-05,0,397404.496279297,0
59,5.89999999999999e-05,0,0,8.55661465644811e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1673547572068e-06,0,4.77851979848267e-06,0,2449.57552058275,0,1.95024892121376e-05,0,397205.775618615,0
60,5.99999999999999e-05,0,0,8.39311179256179e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86269981569219e-06,0,5.06082395373926e-06,0,2471.88111123873,0,1.93166355619932e-05,0,397002.955829942,0
61,6.09999999999999e-05,0,0,8.31237490157491e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71028089969457e-06,0,5.20418800376075e-06,0,2483.10263192618,0,1.92268438050302e-05,0,396951.405085275,0
62,6.19999999999999e-05,0,0,7.97364631177645e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07662603093124e-06,0,5.79404056169049e-06,0,2528.13049282009,0,1.88443129043982e-05,0,396108.780025088,0
63,6.29999999999999e-05,0,0,7.89208619060562e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91928589582694e-06,0,5.94560058955744e-06,0,2539.55455406361,0,1.875697267599e-05,0,396054.514043039,0
64,6.39999999999999e-05,0,0,7.81031696033406e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76087681864972e-06,0,6.09888028336874e-06,0,2551.02167722317,0,1.86700740623525e-05,0,395999.707277433,0
65,6.49999999999999e-05,0,0,7.72832312650492e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60136701617288e-06,0,6.25391222066415e-06,0,2562.53364886618,0,1.8583602363342e-05,0,395944.355549099,0
66,6.59999999999999e-05,0,0,7.64608900478574e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44072433790597e-06,0,6.4107293337596e-06,0,2574.09234733269,0,1.84975426764513e-05,0,395888.454649149,0
67,6.69999999999999e-05,0,0,7.39051274422075e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94449292490068e-06,0,6.89203963864022e-06,0,2608.91454774935,0,1.82270453077617e-05,0,395376.454601673,0
68,6.79999999999999e-05,0,0,7.13214419428393e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43683625060935e-06,0,7.39061588734923e-06,0,2644.23164476464,0,1.79595963322425e-05,0,394848.729102427,0
69,6.89999999999999e-05,0,0,7.13214419428393e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43683625060935e-06,0,7.39061588734923e-06,0,2644.23164476464,0,1.79595963322425e-05,0,394848.729102427,0
70,6.99999999999999e-05,0,0,6.96055223640668e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09391265094563e-06,0,7.73327917092218e-06,0,2668.15024817597,0,1.77877440582745e-05,0,394607.948434206,0
71,7.09999999999999e-05,2.71966453923163e-09,0,5.84210164418513e-06,0,2.48966281787798e-07,0,4.11402393742246e-07,0,3.99938244632431e-09,0,7.60647085492201e-10,0,0,0,6.57989912684183e-09,0,1.61433426861245e-06,0,8.59127029775978e-06,0,2830.94205585852,0,1.67221344792853e-05,0,393602.063923894,0
72,7.19999999999999e-05,7.36465847395205e-09,0,5.45151512092996e-06,0,3.75534821905125e-07,0,5.53764238872924e-07,0,3.09243356981795e-09,0,3.16191877470337e-10,0,0,0,8.48939326711848e-09,0,1.1597279583327e-06,0,8.72097361774209e-06,0,2907.62702200308,0,1.62807784349712e-05,0,393594.061707184,0
73,7.29999999999999e-05,1.79908309364885e-08,0,5.08595104677945e-06,0,5.43957302591537e-07,0,7.05097903877197e-07,0,2.40963916302734e-09,0,1.41295184832861e-10,0,0,0,1.08610966472266e-08,0,7.08456476090463e-07,0,8.84728195676522e-06,0,2973.04680610934,0,1.59221475480354e-05,0,393584.571546571,0
74,7.39999999999999e-05,4.2557714976995e-08,0,4.70878270026685e-06,0,7.69911324652473e-07,0,8.74877229950465e-07,0,1.82101282011207e-09,0,6.08768054799032e-11,0,0,0,1.35654671666332e-08,0,2.08049293747068e-07,0,8.98049888927938e-06,0,3034.30334931218,0,1.56001245096655e-05,0,393569.772911163,0
75,7.49999999999999e-05,8.70547114400422e-08,0,4.27159917188406e-06,0,9.84168328177568e-07,0,1.02758498678931e-06,0,1.29287225603168e-09,0,2.45748502292391e-11,0,0,0,1.48390089318435e-08,0,0,0,8.94337486385295e-06,0,3087.75497708023,0,1.5329938518182e-05,0,393566.313329917,0
76,7.59999999999999e-05,1.3627599818576e-07,0,3.92363317248261e-06,0,1.08386787023871e-06,0,1.14408944796377e-06,0,9.12805360801761e-10,0,1.06240530870277e-11,0,0,0,1.35352946694776e-08,0,0,0,8.84371927074393e-06,0,3125.11094148033,0,1.51460444836981e-05,0,393549.479669502,0
77,7.69999999999999e-05,2.03372995645152e-07,0,3.61214703950656e-06,0,1.19739644582418e-06,0,1.24106579846045e-06,0,6.875836963952e-10,0,5.42841347757412e-12,0,0,0,1.31024238574199e-08,0,0,0,8.73190325244681e-06,0,3155.48826285698,0,1.49996809678504e-05,0,393534.911920512,0
78,7.79999999999999e-05,2.8891485972855e-07,0,3.33257678748324e-06,0,1.31109322613597e-06,0,1.31948991689387e-06,0,5.39502225289078e-10,0,3.09395614253142e-12,0,0,0,1.29857520277053e-08,0,0,0,8.61482995707362e-06,0,3180.71817978306,0,1.48804330955244e-05,0,393527.818256855,0
79,7.89999999999999e-05,3.64457691903336e-07,0,3.13634782568175e-06,0,1.36266680362963e-06,0,1.38078162427795e-06,0,4.37416983573494e-10,0,1.92868444277528e-12,0,0,0,1.2194445298616e-08,0,0,0,8.53952657019916e-06,0,3198.75047115836,0,1.47964143066585e-05,0,393524.269348351,0
