Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
71,0.0355,0,0,2.22300387440552e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78086411600127e-07,0,1.19680314834957e-11,0,2081.89061393538,0,2.31081371236868e-05,0,399997.722260356,0
72,0.036,0,0,2.22187946457023e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77641944966075e-07,0,1.21293408286228e-11,0,2082.94406159009,0,2.30964487200092e-05,0,399997.696666979,0
73,0.0365,0,0,2.22075834063229e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77198776506193e-07,0,1.22905416793918e-11,0,2083.99549310916,0,2.30847944733707e-05,0,399997.671197196,0
74,0.037,0,0,2.21964214190926e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76757554230289e-07,0,1.24513958148601e-11,0,2085.04336122322,0,2.30731914247187e-05,0,399997.645925247,0
75,0.0375,0,0,2.21852976709598e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76317842809074e-07,0,1.26120589976216e-11,0,2086.08868888591,0,2.30616281258279e-05,0,399997.620800911,0
76,0.038,0,0,2.21742099111834e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75879553277233e-07,0,1.27725614763828e-11,0,2087.13167866412,0,2.30501022370221e-05,0,399997.595813868,0
77,0.0385,0,0,2.21631655081265e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75442976904548e-07,0,1.29327941284769e-11,0,2088.17162789731,0,2.30386214178252e-05,0,399997.570997118,0
78,0.039,0,0,2.21521498793711e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75007537264124e-07,0,1.30929662662258e-11,0,2089.20990090059,0,2.30271705096015e-05,0,399997.546284972,0
79,0.0395,0,0,2.2141169316009e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74573483041526e-07,0,1.32529846812928e-11,0,2090.24589734925,0,2.30157560520352e-05,0,399997.521705501,0
80,0.04,0,0,2.21302314653287e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74141116533557e-07,0,1.34127355184845e-11,0,2091.27888643816,0,2.30043859945978e-05,0,399997.497292699,0
81,0.0405,0,0,2.21193166003767e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.73709657949759e-07,0,1.35725049003411e-11,0,2092.31072329639,0,2.29930398308313e-05,0,399997.472958346,0
82,0.041,0,0,2.21084448399968e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.73279902580389e-07,0,1.3731996543691e-11,0,2093.33949848577,0,2.29817384745737e-05,0,399997.448792049,0
83,0.0415,0,0,2.20975933117174e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72850946291555e-07,0,1.38915440761157e-11,0,2094.36736877001,0,2.29704581495531e-05,0,399997.424691935,0
84,0.042,0,0,2.20867973085158e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72424184203851e-07,0,1.40506264056571e-11,0,2095.39098248697,0,2.2959235543346e-05,0,399997.40081444,0
85,0.0425,0,0,2.20760245439698e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71998340052059e-07,0,1.42097165381522e-11,0,2096.41339098253,0,2.29480370937384e-05,0,399997.377016388,0
86,0.043,0,0,2.20652878997039e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71573923045914e-07,0,1.43686227014903e-11,0,2097.43336506817,0,2.29368761913725e-05,0,399997.35335461,0
