Weight (cm-3),Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),Stat. Weight (-),Num coags (-),aluminum
195312887955.464,16375.4441779164,16375.4441779164,16375.4441779164,8.42434318452885e-06,2.29920754609564e-09,8.96690942977298e-09,0.0014,2,0,200000000015485
195312887955.464,16375.4441779206,16375.4441779206,16375.4441779206,8.42434318453318e-06,2.29920754609741e-09,8.96690942977989e-09,0.0014,2,0,200000000015639
195312887955.464,16375.444177914,16375.444177914,16375.444177914,8.42434318452638e-06,2.29920754609462e-09,8.96690942976904e-09,0.0014,2,0,200000000015397
195312887955.464,16375.4441779149,16375.4441779149,16375.4441779149,8.42434318452728e-06,2.29920754609499e-09,8.96690942977047e-09,0.0014,2,0,200000000015429
195312887955.464,16375.4441779093,16375.4441779093,16375.4441779093,8.42434318452147e-06,2.29920754609261e-09,8.96690942976119e-09,0.0014,2,0,200000000015222
195312887955.464,16375.4441779157,16375.4441779157,16375.4441779157,8.4243431845281e-06,2.29920754609533e-09,8.96690942977177e-09,0.0014,2,0,200000000015458
195312887955.464,16375.4441779131,16375.4441779131,16375.4441779131,8.42434318452543e-06,2.29920754609423e-09,8.96690942976751e-09,0.0014,2,0,200000000015363
195312887955.464,16375.4441779124,16375.4441779124,16375.4441779124,8.4243431845247e-06,2.29920754609393e-09,8.96690942976635e-09,0.0014,2,0,200000000015337
195312887955.464,16375.4441779125,16375.4441779125,16375.4441779125,8.42434318452478e-06,2.29920754609397e-09,8.96690942976648e-09,0.0014,2,0,200000000015340
195312887955.464,16375.4441779101,16375.4441779101,16375.4441779101,8.42434318452237e-06,2.29920754609298e-09,8.96690942976263e-09,0.0014,2,0,200000000015254
195312887955.464,16375.4441779121,16375.4441779121,16375.4441779121,8.42434318452439e-06,2.29920754609381e-09,8.96690942976585e-09,0.0014,2,0,200000000015326
195312887955.464,16375.4441779054,16375.4441779054,16375.4441779054,8.42434318451748e-06,2.29920754609098e-09,8.96690942975483e-09,0.0014,2,0,200000000015080
195312887955.464,16375.4441779051,16375.4441779051,16375.4441779051,8.42434318451714e-06,2.29920754609084e-09,8.96690942975429e-09,0.0014,2,0,200000000015068
195312887955.464,16375.4441779089,16375.4441779089,16375.4441779089,8.42434318452107e-06,2.29920754609245e-09,8.96690942976056e-09,0.0014,2,0,200000000015208
195312887955.464,16375.4441779071,16375.4441779071,16375.4441779071,8.42434318451928e-06,2.29920754609172e-09,8.96690942975769e-09,0.0014,2,0,200000000015144
195312887955.464,16375.4441779122,16375.4441779122,16375.4441779122,8.4243431845245e-06,2.29920754609385e-09,8.96690942976603e-09,0.0014,2,0,200000000015330
195312887955.464,16375.4441779058,16375.4441779058,16375.4441779058,8.4243431845179e-06,2.29920754609115e-09,8.9669094297555e-09,0.0014,2,0,200000000015095
195312887955.464,16375.4441779059,16375.4441779059,16375.4441779059,8.42434318451799e-06,2.29920754609119e-09,8.96690942975563e-09,0.0014,2,0,200000000015098
195312887955.464,16375.4441778997,16375.4441778997,16375.4441778997,8.42434318451161e-06,2.29920754608858e-09,8.96690942974545e-09,0.0014,2,0,200000000014871
195312887955.464,16375.4441779032,16375.4441779032,16375.4441779032,8.42434318451526e-06,2.29920754609007e-09,8.96690942975128e-09,0.0014,2,0,200000000015001
195312887955.464,16375.4441779046,16375.4441779046,16375.4441779046,8.42434318451666e-06,2.29920754609065e-09,8.96690942975353e-09,0.0014,2,0,200000000015051
195312887955.464,16375.4441778999,16375.4441778999,16375.4441778999,8.42434318451186e-06,2.29920754608868e-09,8.96690942974586e-09,0.0014,2,0,200000000014880
195312887955.464,16375.4441778891,16375.4441778891,16375.4441778891,8.42434318450074e-06,2.29920754608413e-09,8.9669094297281e-09,0.0014,2,0,200000000014484
