Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
83,0.00830000000000001,6.82048489799069e-12,0,1.64636803245286e-05,0,1.76440215174737e-09,0,4.95769539930036e-07,0,8.48044365653238e-11,0,1.81055790969629e-13,0,0,0,3.4367408867327e-13,0,0,0,1.98983726368567e-06,0,2755.47769543898,0,1.89511436799474e-05,0,434177.18575332,0
84,0.0084,6.91954984049495e-12,0,1.64493314306694e-05,0,1.77859221778829e-09,0,4.97531836970447e-07,0,8.49184011236345e-11,0,1.80858840806427e-13,0,0,0,3.47154914497606e-13,0,0,0,1.99308941024725e-06,0,2756.33558970708,0,1.89418236360696e-05,0,434098.77121043,0
85,0.0085,6.99709967738759e-12,0,1.64350327002076e-05,0,1.78738122142496e-09,0,4.99197661833616e-07,0,8.47601522277447e-11,0,1.79538407394204e-13,0,0,0,3.48582458005294e-13,0,0,0,1.99634262962123e-06,0,2757.19687245619,0,1.89324526582566e-05,0,434019.589460592,0
86,0.0086,7.10838592375889e-12,0,1.64206509700757e-05,0,1.80427516008943e-09,0,5.0089742158612e-07,0,8.49864179620912e-11,0,1.79833036874858e-13,0,0,0,3.5305698791959e-13,0,0,0,1.99960654380825e-06,0,2758.06032332689,0,1.89230518383241e-05,0,433939.9302859,0
87,0.0087,7.15098070191868e-12,0,1.64064545583428e-05,0,1.80387225974236e-09,0,5.02621745216664e-07,0,8.43987467104012e-11,0,1.76710149603406e-13,0,0,0,3.50932017045169e-13,0,0,0,2.00282918782652e-06,0,2758.91073075904,0,1.89138014410153e-05,0,433861.535486756,0
88,0.0088,7.29114918672653e-12,0,1.63920751957026e-05,0,1.82753498620321e-09,0,5.04383392647034e-07,0,8.49345073951996e-11,0,1.78293720335514e-13,0,0,0,3.58077787721064e-13,0,0,0,2.00607935068094e-06,0,2759.76823059543,0,1.89044582360449e-05,0,433781.995101943,0
89,0.0089,7.35982763000405e-12,0,1.63778352412777e-05,0,1.83324032955865e-09,0,5.06099217142533e-07,0,8.46298356888984e-11,0,1.76365572766083e-13,0,0,0,3.58220515309363e-13,0,0,0,2.00930832044657e-06,0,2760.62079662075,0,1.88951685434458e-05,0,433702.774648397,0
90,0.009,7.44193883100144e-12,0,1.63635755313096e-05,0,1.84225836085225e-09,0,5.07777014067639e-07,0,8.44710784622331e-11,0,1.75080806172368e-13,0,0,0,3.59693111352765e-13,0,0,0,2.01254388096343e-06,0,2761.47666079301,0,1.88858311324927e-05,0,433622.844763612,0
91,0.0091,7.51677836528047e-12,0,1.6349408969674e-05,0,1.84923783922485e-09,0,5.0949125458316e-07,0,8.42268625406058e-11,0,1.73438802271235e-13,0,0,0,3.60336473490385e-13,0,0,0,2.01575187301132e-06,0,2762.32352446638,0,1.88765936125239e-05,0,433543.663599058,0
92,0.0092,7.6459167632774e-12,0,1.6335133333053e-05,0,1.86927231541655e-09,0,5.11217652473758e-07,0,8.45688647668783e-11,0,1.74213340405322e-13,0,0,0,3.66055905466197e-13,0,0,0,2.01897733809089e-06,0,2763.17535873236,0,1.88672903509838e-05,0,433463.621725441,0
93,0.0093,7.73371878884971e-12,0,1.63209137959558e-05,0,1.87899088571093e-09,0,5.12938690275017e-07,0,8.44398722146858e-11,0,1.73052557413155e-13,0,0,0,3.6773860367022e-13,0,0,0,2.02219339234872e-06,0,2764.02437079194,0,1.88580175838474e-05,0,433383.706368731,0
94,0.0094,7.82887783970241e-12,0,1.63066686590556e-05,0,1.8902489235389e-09,0,5.14671207133458e-07,0,8.43771867959195e-11,0,1.7216577230193e-13,0,0,0,3.69999267698297e-13,0,0,0,2.0254121886212e-06,0,2764.87381939288,0,1.88487350519635e-05,0,433303.504034525,0
